hotel_name,rating,time_minutes,food_type,location,offer_above,offer_percentage,Num,food
"Hunger bell",4.1,52,"Snacks, Chinese, Tandoor, North Indian","Kandivali West",not_available,0,4," North Indian"
"Damdaar Swaad",4.37,49,"Italian-American, Fast Food, Snacks, Indian","Kandivali West",not_available,0,1,Italian-American
"Damdaar Swaad",4.37,49,"Italian-American, Fast Food, Snacks, Indian","Kandivali West",not_available,0,2," Fast Food"
"Damdaar Swaad",4.37,49,"Italian-American, Fast Food, Snacks, Indian","Kandivali West",not_available,0,3," Snacks"
"Damdaar Swaad",4.37,49,"Italian-American, Fast Food, Snacks, Indian","Kandivali West",not_available,0,4," Indian"
"Secret Sauce Sandwiches",4.4,42,"Pizzas, Snacks, Italian, Mexican","Kandivali West",not_available,0,1,Pizzas
"Secret Sauce Sandwiches",4.4,42,"Pizzas, Snacks, Italian, Mexican","Kandivali West",not_available,0,2," Snacks"
"Secret Sauce Sandwiches",4.4,42,"Pizzas, Snacks, Italian, Mexican","Kandivali West",not_available,0,3," Italian"
"Secret Sauce Sandwiches",4.4,42,"Pizzas, Snacks, Italian, Mexican","Kandivali West",not_available,0,4," Mexican"
"Chef Chini",4.1,52,"Chinese, Fast Food, Desserts, Beverages","Kandivali West",not_available,0,1,Chinese
"Chef Chini",4.1,52,"Chinese, Fast Food, Desserts, Beverages","Kandivali West",not_available,0,2," Fast Food"
"Chef Chini",4.1,52,"Chinese, Fast Food, Desserts, Beverages","Kandivali West",not_available,0,3," Desserts"
"Chef Chini",4.1,52,"Chinese, Fast Food, Desserts, Beverages","Kandivali West",not_available,0,4," Beverages"
"All About Cheese",4.1,50,"Fast Food, Snacks, Pizzas","Kandivali West",100,10,1,"Fast Food"
"All About Cheese",4.1,50,"Fast Food, Snacks, Pizzas","Kandivali West",100,10,2," Snacks"
"All About Cheese",4.1,50,"Fast Food, Snacks, Pizzas","Kandivali West",100,10,3," Pizzas"
"Size Zero",4.2,40,"Chinese, Burgers, Pizzas, Pastas, Fast Food",kandivali,150,30,1,Chinese
"Size Zero",4.2,40,"Chinese, Burgers, Pizzas, Pastas, Fast Food",kandivali,150,30,2," Burgers"
"Size Zero",4.2,40,"Chinese, Burgers, Pizzas, Pastas, Fast Food",kandivali,150,30,3," Pizzas"
"Size Zero",4.2,40,"Chinese, Burgers, Pizzas, Pastas, Fast Food",kandivali,150,30,4," Pastas"
"Size Zero",4.2,40,"Chinese, Burgers, Pizzas, Pastas, Fast Food",kandivali,150,30,5," Fast Food"
"Adarsh Refreshment",3.9,43,Beverages,Malad,not_available,0,1,Beverages
"Asian Tadka",4.2,55,"Indian, Tandoor, Thai, Chinese",Goregaon,not_available,0,1,Indian
"Asian Tadka",4.2,55,"Indian, Tandoor, Thai, Chinese",Goregaon,not_available,0,2," Tandoor"
"Asian Tadka",4.2,55,"Indian, Tandoor, Thai, Chinese",Goregaon,not_available,0,3," Thai"
"Asian Tadka",4.2,55,"Indian, Tandoor, Thai, Chinese",Goregaon,not_available,0,4," Chinese"
"JUICE BUDDY",4.5,40,Beverages,Borivali,not_available,0,1,Beverages
"Oh! Pizzaz",4.1,42,"Beverages, Snacks","Kandivali West",not_available,0,1,Beverages
"Oh! Pizzaz",4.1,42,"Beverages, Snacks","Kandivali West",not_available,0,2," Snacks"
"Dairy Naturals",4.1,53,"Ice Cream, Desserts","Kandivali West",not_available,0,1,"Ice Cream"
"Dairy Naturals",4.1,53,"Ice Cream, Desserts","Kandivali West",not_available,0,2," Desserts"
"High On Waffle",4.1,49,"North Indian, Bakery","Kandivali West",not_available,0,1,"North Indian"
"High On Waffle",4.1,49,"North Indian, Bakery","Kandivali West",not_available,0,2," Bakery"
"Faloodah By Purple Foods",3.9,46,"Beverages, Desserts",Malad,not_available,0,1,Beverages
"Faloodah By Purple Foods",3.9,46,"Beverages, Desserts",Malad,not_available,0,2," Desserts"
"The Noisy Cake",4.7,64,Bakery,"Kandivali East",not_available,0,1,Bakery
"Bombay Shakers",4.1,50,Beverages,"Kandivali West",not_available,0,1,Beverages
"Sliders Bell",4.4,42,"Snacks, Beverages","Kandivali West",not_available,0,1,Snacks
"Sliders Bell",4.4,42,"Snacks, Beverages","Kandivali West",not_available,0,2," Beverages"
"Matoshree Chinese & Fast Food",4.1,61,Chinese,"Kandivali West",not_available,0,1,Chinese
"Navaratna Kitchen & Bar",4.5,46,"North Indian, Chinese, South Indian, Tandoor, Seafood",Borivali,700,20,1,"North Indian"
"Navaratna Kitchen & Bar",4.5,46,"North Indian, Chinese, South Indian, Tandoor, Seafood",Borivali,700,20,2," Chinese"
"Navaratna Kitchen & Bar",4.5,46,"North Indian, Chinese, South Indian, Tandoor, Seafood",Borivali,700,20,3," South Indian"
"Navaratna Kitchen & Bar",4.5,46,"North Indian, Chinese, South Indian, Tandoor, Seafood",Borivali,700,20,4," Tandoor"
"Navaratna Kitchen & Bar",4.5,46,"North Indian, Chinese, South Indian, Tandoor, Seafood",Borivali,700,20,5," Seafood"
"Upperdeck Bistro",4.1,45,"Beverages, Burgers, Pastas, Snacks","Kandivali West",100,10,1,Beverages
"Upperdeck Bistro",4.1,45,"Beverages, Burgers, Pastas, Snacks","Kandivali West",100,10,2," Burgers"
"Upperdeck Bistro",4.1,45,"Beverages, Burgers, Pastas, Snacks","Kandivali West",100,10,3," Pastas"
"Upperdeck Bistro",4.1,45,"Beverages, Burgers, Pastas, Snacks","Kandivali West",100,10,4," Snacks"
"Sweet Cakes & More",4.7,58,"Bakery, Desserts","Kandivali West",999,not_available,1,Bakery
"Sweet Cakes & More",4.7,58,"Bakery, Desserts","Kandivali West",999,not_available,2," Desserts"
"Meenakshi Bar And Restaurant",4.7,43,"Chinese, North Indian, Indian, Snacks","Kandivali East",not_available,0,1,Chinese
"Meenakshi Bar And Restaurant",4.7,43,"Chinese, North Indian, Indian, Snacks","Kandivali East",not_available,0,2," North Indian"
"Meenakshi Bar And Restaurant",4.7,43,"Chinese, North Indian, Indian, Snacks","Kandivali East",not_available,0,3," Indian"
"Meenakshi Bar And Restaurant",4.7,43,"Chinese, North Indian, Indian, Snacks","Kandivali East",not_available,0,4," Snacks"
Bombar,4.37,56,"Italian, Chinese, Tandoor","Kandivali West",not_available,0,1,Italian
Bombar,4.37,56,"Italian, Chinese, Tandoor","Kandivali West",not_available,0,2," Chinese"
Bombar,4.37,56,"Italian, Chinese, Tandoor","Kandivali West",not_available,0,3," Tandoor"
"Malvani Masala",4.5,62,"Indian, North Indian",Borivali,700,20,1,Indian
"Malvani Masala",4.5,62,"Indian, North Indian",Borivali,700,20,2," North Indian"
"Ruchira's Food Hub",4.5,41,"Chinese, American",Borivali,not_available,0,1,Chinese
"Ruchira's Food Hub",4.5,41,"Chinese, American",Borivali,not_available,0,2," American"
"Neelam Garden",4.5,41,"North Indian, Chinese, Biryani",Borivali,not_available,0,1,"North Indian"
"Neelam Garden",4.5,41,"North Indian, Chinese, Biryani",Borivali,not_available,0,2," Chinese"
"Neelam Garden",4.5,41,"North Indian, Chinese, Biryani",Borivali,not_available,0,3," Biryani"
"Angel Cake Shop",4.3,46,Bakery,"Kandivali East",not_available,0,1,Bakery
Mogazm,4.1,50,"Snacks, Fast Food, Beverages","Kandivali West",250,50,1,Snacks
Mogazm,4.1,50,"Snacks, Fast Food, Beverages","Kandivali West",250,50,2," Fast Food"
Mogazm,4.1,50,"Snacks, Fast Food, Beverages","Kandivali West",250,50,3," Beverages"
"Marvish Home Kitchen",4.37,48,"Indian, North Indian","Kandivali West",not_available,0,1,Indian
"Marvish Home Kitchen",4.37,48,"Indian, North Indian","Kandivali West",not_available,0,2," North Indian"
Munira's,3.9,44,Desserts,"Kandivali West",not_available,0,1,Desserts
"Shivani Chinese And Pizza Corner",4.1,54,"Pizzas, Chinese, Fast Food","Kandivali West",not_available,0,1,Pizzas
"Shivani Chinese And Pizza Corner",4.1,54,"Pizzas, Chinese, Fast Food","Kandivali West",not_available,0,2," Chinese"
"Shivani Chinese And Pizza Corner",4.1,54,"Pizzas, Chinese, Fast Food","Kandivali West",not_available,0,3," Fast Food"
"Raju Snacks",4.5,41,"Beverages, Burgers, Ice Cream",Borivali,not_available,0,1,Beverages
"Raju Snacks",4.5,41,"Beverages, Burgers, Ice Cream",Borivali,not_available,0,2," Burgers"
"Raju Snacks",4.5,41,"Beverages, Burgers, Ice Cream",Borivali,not_available,0,3," Ice Cream"
"Balaji Express",4.7,49,"South Indian, Beverages, Fast Food, Juices, Chaat","Kandivali East",not_available,0,1,"South Indian"
"Balaji Express",4.7,49,"South Indian, Beverages, Fast Food, Juices, Chaat","Kandivali East",not_available,0,2," Beverages"
"Balaji Express",4.7,49,"South Indian, Beverages, Fast Food, Juices, Chaat","Kandivali East",not_available,0,3," Fast Food"
"Balaji Express",4.7,49,"South Indian, Beverages, Fast Food, Juices, Chaat","Kandivali East",not_available,0,4," Juices"
"Balaji Express",4.7,49,"South Indian, Beverages, Fast Food, Juices, Chaat","Kandivali East",not_available,0,5," Chaat"
"Conch Restaurants",4.7,57,"Asian, Continental, Chinese","Kandivali West",not_available,0,1,Asian
"Conch Restaurants",4.7,57,"Asian, Continental, Chinese","Kandivali West",not_available,0,2," Continental"
"Conch Restaurants",4.7,57,"Asian, Continental, Chinese","Kandivali West",not_available,0,3," Chinese"
"Vishal's fast food hub",4.7,48,Chinese,"Kandivali East",not_available,0,1,Chinese
"Shree's Frankie Rolls and More",4.5,46,"Snacks, Pizzas",Borivali,not_available,0,1,Snacks
"Shree's Frankie Rolls and More",4.5,46,"Snacks, Pizzas",Borivali,not_available,0,2," Pizzas"
